Nume,Categorie,Tip_produs,Pret,Vanzare_ok,Achizitie_ok,Unitate,Unitate_achizitie,Taxe,Taxe_achizitie,Descriere
Dulceata de cirese negre Razvan 380g,Dulceata,product,18.3486,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,516
Dulceata de visine Razvan 380g,Dulceata,product,18.3486,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,518
Dulceata de caise Razvan 380g,Dulceata,product,18.3486,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,519
Dulceata de afine Razvan 380g,Dulceata,product,18.3486,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,520
Zacusca la ceaun picanta Razvan 350g,Zacusca,product,18.3486,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,521
PIPER NEGRU BOABE,Ingrediente,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,522
Zacusca la ceaun cu ghebe Razvan 350g,Zacusca,product,20.1835,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,523
Zacusca Gusturi Romanesti 300G 28671,Zacusca,product,9,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,524
Zacusca de vinete Razvan 350g,Zacusca,product,16.5138,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,525
Cafea de specialitate Burundi 250g,Cafea ,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,758
Boabe cacao punga,Ingrediente,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,759
Cutii cos traditional,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,761
Eticheta ardei capia 320g,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,762
Eticheta ciocolata fistic 80g,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,763
Eticheta ciocolata lapte 40g,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,764
Eticheta ciocolata lapte 80g,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,765
Eticheta ciocolata neagra 40g,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,766
Eticheta ciocolata neagra 80g,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,767
Eticheta ciocolata neagra 80g,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,767
Eticheta ciocolata prune palinca 80g,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,769
Eticheta ciocolata sare 40g,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,770
Eticheta ciocolata sare 80g,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,771
Fentimas Ginger Beer 250ml,Bauturi alcoolice ,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,772
Dulceata de capsuni 220g,Dulceata,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,774
Cioco miere borcan 400g,Miere,product,24.7706,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,775
Dulceata de coacaze negre 380g,Dulceata,product,18.3486,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,776
Dulceata de prune cu nuca 380g,Dulceata,product,20.1835,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,777
Ciocolata Razvan 54% cacao cu lapte 40g,Ciocolata,product,10.0826,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,779
Ciocolata Razvan 70% cacao neagra 40g,Ciocolata,product,10,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,780
Ciocolat? neagr? 70% cacao cu prune ?i p?linc? mini 40g R?zvan,Ciocolata,product,11,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,112
Set de 6 ciocolate mini Bean to Bar Razvan,Ciocolata,product,50.4587,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,526
Salata de vinete la gratar Razvan 320g,Zacusca,product,18.3486,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,515
Cirese confiate,Fructe ,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,527
Ardei iute,Ingrediente,product,0,ok,ok,g,g,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,528
Cafea Columbia Isaias manco 250gr,Cafea ,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,530
Cafea Columbia Isaias manco 250gr,Cafea ,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,530
Cutie rigida 34x34x10/4 cm,Ambalaje,product,42.0168,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,534
GM Martha Rouge 2017,Bauturi alcoolice ,product,74.7899,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,783
Eticheta zacusca picanta,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,784
Eticheta zacusca cu ghebe,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,785
Eticheta salata de ardei,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,786
Etichete dulceata afine,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,787
Eticheta dulceata de visine,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,788
Eticheta dulceata de visine cu nuca,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,789
Carassia Classic 2017,Bauturi alcoolice ,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,791
Cutie ciocolata 80 g - palinca,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,794
Cutie ciocolata 80 g - nuca prajita,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,795
Cutie ciocolata 80 g - cirese amare&visinata,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,796
Cutie ciocolata 80g - alune,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,797
Cutie ciocolata 40 g - palinca,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,798
Cutie ciocolata 40 g - nuca prajita,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,799
Cutie ciocolata 40 g - cirese amare&visinata,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,800
Cutie ciocolata 40 g - alune,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,801
Cutii colective 400x300x150,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,802
"Peru Valentin Carranza,Jumarp FW Organic 250g",Cafea ,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,809
Rwanda Isimbi 250g,Cafea ,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,808
Ciocolata cu lapte 54% cacao cu alune 40g Razvan,Ciocolata,product,11,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,806
Ciocolata neagra 70% caco cu cirese si visinata 80g Razvan,Ciocolata,product,18.3394,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,807
Crema de alune Razvan 350 gr,Ciocolata,product,22.0183,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,811
Ciocolata Razvan 70% cacao neagra cu cirese de visinata 40g,Ciocolata,product,11,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,815
Pungi 11*35,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,816
Ciocolata cu lapte 54% cacao cu alune Razvan 80g,Ciocolata,product,18.3394,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,817
Cafea Columbia LA ESTRELLA 250G,Cafea ,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,819
Cafea peru el romerillo 250g,Cafea ,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,820
Miez de nuca sferturi,Nuci,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,825
Bere Anagram Zen Den Hazy Ipa 330ml,Bauturi alcoolice ,product,12.605,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,826
Bere Anagram Twin Sours Coffee 330ml,Bauturi alcoolice ,product,12.605,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,827
Bere Anagram Twin Sours Grape Skins 330ml,Bauturi alcoolice ,product,12.605,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,828
Bere Anagram Samba Stout 330ml,Bauturi alcoolice ,product,16.8067,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,829
Sare 25 kg,Ingrediente,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,830
Crema de alune 300g Razvan,Ciocolata,product,22.9358,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,831
Socata cu zvac KOFI TI 300ml,Bauturi,product,11.0092,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,832
Apa tonica Hawaii KOFI TI 300ml,Bauturi,product,13.7615,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,834
Cafea Guatemala 112coffee 250g,Cafea ,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,835
Cutie cu piramide de ceai bio de ceai negru si bergamota,Ceai,product,27.619,ok,ok,Units,Units,TVA colectat 5% Bunuri,TVA deductibil 5% Bunuri,836
Cutie cu piramide de ceai bio de ceai verde si magnolie,Ceai,product,27.619,ok,ok,Units,Units,TVA colectat 5% Bunuri,TVA deductibil 5% Bunuri,837
Cutie cu piramide de ceai bio de menta si eucalipt,Ceai,product,27.619,ok,ok,Units,Units,TVA colectat 5% Bunuri,TVA deductibil 5% Bunuri,838
Cutie cu piramide de ceai bio de musetel si hibiscus,Ceai,product,27.619,ok,ok,Units,Units,TVA colectat 5% Bunuri,TVA deductibil 5% Bunuri,839
Cutie cu piramide de ceai bio dulce,Ceai,product,27.619,ok,ok,Units,Units,TVA colectat 5% Bunuri,TVA deductibil 5% Bunuri,840
Mustar Ancient One cu vin by Chef Sosin150g,Sosuri,product,15.5963,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,841
Mustar Kinky Dog cu hrean de la Chef Sosin 150g,Sosuri,product,15.5963,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,842
Mustar Macho Tears cu chilli de la Chef Sosin 150g,Sosuri,product,15.5963,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,843
Mustar cu miere Pussy Lover by Chef Sosin 150g,Sosuri,product,15.5963,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,844
Chutney de caise Bollywood Star by Chef Sosin,Sosuri,product,26.6055,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,845
Cozonac,Bacanie,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,846
Cuvertura Domori Puertomar 75% tableta 500g,Ciocolata,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,848
Cuvertura Domori Puertofino 75% tableta 500g,Ciocolata,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,849
Cuvertura Domori Chuao 75% tableta 500g,Ciocolata,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,850
Cuvertura Domori Sur del Lago Venezuela 72%,Ciocolata,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,851
Etichete Salata de ardei,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,852
Etichete zacusca picanta,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,853
Etichete dulceata de caise,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,854
Etichete dulceata prune cu miez de nuca,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,855
Etichete visine cu miez de nuca,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,856
etichete zacusca de vinete,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,857
Visine deshidratate fara samburi,Fructe ,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,858
Crema Fior Ten sensibil 60 ml,Cosmetice,product,117.6471,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,859
Crema Fior Ten matur 60 ml,Cosmetice,product,130.2521,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,860
Crema Fior Ten mixt/gras 60 ml,Cosmetice,product,117.6471,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,861
Crema Fior Contur ochi 30 ml,Cosmetice,product,94.958,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,862
Crema Fior Ser regenerant 30 ml,Cosmetice,product,142.8571,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,863
Crema Fior Unt corp Ador Fruits 120ml,Cosmetice,product,64.7059,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,864
Crema Fior Unt de corp Ador Chocolate 120ml,Cosmetice,product,64.7059,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,865
Crema Miresme Violete Body lotion 200ml,Cosmetice,product,84.0336,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,866
Balsam de buze 6g Nuca,Cosmetice,product,29.4118,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,869
Crema anti-aging fata 50 ml Nuca,Cosmetice,product,134.4538,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,870
Gel de fata100ml Nuca,Cosmetice,product,79.8319,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,871
Crema Miresme bujor Body lotion 200ml,Cosmetice,product,84.0336,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,872
Crema Miresme frezie Body lotion 200ml,Cosmetice,product,84.0336,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,873
Etichete adezive Fi 3/32 cm*Crema alune,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,876
Pudra de lecitina din soia Bio 380G,Ingrediente,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,877
Ou de ciocolata 190G,Ciocolata,product,36.6881,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,882
Chardonnay premium 2019 Villa Vinea,Bauturi alcoolice ,product,42.0168,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,884
Sauvignon blanc 2018 Villa Vinea,Bauturi alcoolice ,product,42.0168,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,885
Riesling de Rin 2018 Villa Vinea,Bauturi alcoolice ,product,42.0168,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,886
Feteasca neagra 2018 Villa Vinea,Bauturi alcoolice ,product,42.0168,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,887
Rose Premium 2019 Villa Vinea,Bauturi alcoolice ,product,42.0168,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,888
Capac TW 82,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,889
Zmeura FGR 40/60 Dohler,Fructe ,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,890
Ciocolata Razvan 54% cacao cu lapte si zmeura 80g Jane,Ciocolata,product,13.5,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,891
Ciocolata Razvan 54% cacao cu lapte si zmeura 80g Scott,Ciocolata,product,13.5,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,892
Ciocolata Razvan 54% cacao cu lapte si zmeura 80g Walt,Ciocolata,product,13.5,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,893
Cutie ciocolata Fernando,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,894
Cutie ciocolata Jane Austen,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,895
Ciocolata Oscar Wilde,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,896
Cutie ciocolata Scott Fitzgerald,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,897
Cutie ciocolata Walt Whitman,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,898
Cutie ou ciocolata,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,901
Afine 125g,Fructe ,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,904
Cafea Brazil 250g Origo,Cafea ,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,905
Ciocolata 54% cacao cu lapte si coacaze 80g Oscar,Ciocolata,product,13.5,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,908
Ciocolata 54% cacao cu lapte si coacaze 80g Fernando,Ciocolata,product,13.5,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,909
Pudra coacaze negre 25 kg,Ingrediente,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,91
